,markers,direction
1710850900.751887,3.0,270.0
1710850900.771449,3.0,270.0
1710850900.787793,3.0,270.0
1710850900.8046331,3.0,270.0
1710850900.822034,3.0,270.0
1710850900.831448,3.0,270.0
1710850900.854269,3.0,270.0
1710850900.871231,3.0,270.0
1710850900.8883939,3.0,270.0
1710850900.901818,3.0,270.0
1710850900.9220438,3.0,270.0
1710850900.931564,3.0,270.0
1710850900.95464,3.0,270.0
1710850900.964273,3.0,270.0
1710850900.988001,3.0,270.0
1710850901.0045838,3.0,270.0
1710850901.017995,3.0,270.0
1710850901.038502,3.0,270.0
1710850901.0534148,3.0,270.0
1710850901.071232,3.0,270.0
1710850901.087855,3.0,270.0
1710850901.1048682,3.0,270.0
1710850901.1148071,3.0,270.0
1710850901.1386938,3.0,270.0
1710850901.15486,3.0,270.0
1710850901.164983,3.0,270.0
1710850901.187712,3.0,270.0
1710850901.204471,3.0,270.0
1710850901.218506,3.0,270.0
1710850901.238042,3.0,270.0
1710850901.251103,3.0,270.0
1710850901.270095,3.0,270.0
1710850901.288645,3.0,270.0
1710850901.299134,3.0,270.0
1710850901.3213718,3.0,270.0
1710850901.337715,3.0,270.0
1710850901.3477418,3.0,270.0
1710850901.371946,3.0,270.0
1710850901.3849769,3.0,270.0
1710850901.4047549,3.0,270.0
1710850901.414764,3.0,270.0
1710850901.438151,3.0,270.0
1710850901.447737,3.0,270.0
1710850901.471518,3.0,270.0
1710850901.485962,3.0,270.0
1710850901.5049338,3.0,270.0
1710850901.514178,3.0,270.0
1710850901.5381272,3.0,270.0
1710850901.547817,3.0,270.0
1710850901.5714,3.0,270.0
1710850901.5878332,3.0,270.0
1710850901.604634,3.0,270.0
1710850901.6141849,3.0,270.0
1710850901.638023,3.0,270.0
1710850901.648018,3.0,270.0
1710850901.6711638,3.0,270.0
1710850901.684725,3.0,270.0
1710850901.7048671,3.0,270.0
1710850901.7218182,3.0,270.0
1710850901.735392,3.0,270.0
1710850901.754882,3.0,270.0
1710850901.7650309,3.0,270.0
1710850901.788058,3.0,270.0
1710850901.804578,3.0,270.0
1710850901.814114,3.0,270.0
1710850901.8373508,3.0,270.0
1710850901.85407,3.0,270.0
1710850901.871576,3.0,270.0
1710850901.885035,3.0,270.0
1710850901.905409,3.0,270.0
1710850901.915212,3.0,270.0
1710850901.9380548,3.0,270.0
1710850901.947298,3.0,270.0
1710850901.971792,3.0,270.0
1710850901.981417,3.0,270.0
1710850902.003797,3.0,270.0
1710850902.020364,3.0,270.0
1710850902.037034,3.0,270.0
1710850902.0535722,3.0,270.0
1710850902.0703099,3.0,270.0
1710850902.086915,3.0,270.0
1710850902.103692,3.0,270.0
1710850902.1207428,3.0,270.0
1710850902.137517,3.0,270.0
1710850902.1547468,3.0,270.0
1710850902.171405,3.0,270.0
1710850902.185013,3.0,270.0
1710850902.204554,3.0,270.0
1710850902.2214851,3.0,270.0
1710850902.2361321,3.0,270.0
1710850902.2490501,3.0,270.0
1710850902.271193,3.0,270.0
1710850902.281307,3.0,270.0
1710850902.305485,3.0,270.0
1710850902.315831,3.0,270.0
1710850902.338416,3.0,270.0
1710850902.35181,3.0,270.0
1710850902.371666,3.0,270.0
1710850902.3811781,3.0,270.0
1710850902.405153,3.0,270.0
1710850902.416078,3.0,270.0
1710850902.438148,3.0,270.0
1710850902.455065,3.0,270.0
1710850902.465434,3.0,270.0
1710850902.487556,3.0,270.0
1710850902.5046852,3.0,270.0
1710850902.5209181,3.0,270.0
1710850902.538176,3.0,270.0
1710850902.5482829,3.0,270.0
1710850902.571786,4.0,270.0
1710850902.5878432,4.0,270.0
1710850902.604797,4.0,270.0
1710850902.6216488,4.0,270.0
1710850902.631356,4.0,270.0
1710850902.6548831,4.0,270.0
1710850902.6716878,4.0,270.0
1710850902.681504,4.0,270.0
1710850902.7048,4.0,270.0
1710850902.714541,4.0,270.0
1710850902.738293,4.0,270.0
1710850902.754983,4.0,270.0
1710850902.771598,4.0,270.0
1710850902.787806,4.0,270.0
1710850902.804615,4.0,270.0
1710850902.821259,4.0,270.0
1710850902.8382342,4.0,270.0
1710850902.8548338,4.0,270.0
1710850902.871603,4.0,270.0
1710850902.888273,4.0,270.0
1710850902.904692,4.0,270.0
1710850902.921186,4.0,270.0
1710850902.9381278,4.0,270.0
1710850902.954593,4.0,270.0
1710850902.971599,4.0,270.0
1710850902.98899,4.0,270.0
1710850902.9989948,4.0,270.0
1710850903.021246,4.0,270.0
1710850903.038079,4.0,270.0
1710850903.053662,4.0,270.0
1710850903.071759,4.0,270.0
1710850903.088089,4.0,270.0
1710850903.104984,4.0,270.0
1710850903.1145222,4.0,270.0
1710850903.137724,4.0,270.0
1710850903.1553988,4.0,270.0
1710850903.1643898,4.0,270.0
1710850903.18817,4.0,270.0
1710850903.205177,4.0,270.0
1710850903.221409,4.0,270.0
1710850903.2383711,4.0,270.0
1710850903.254702,4.0,270.0
1710850903.271339,4.0,270.0
